Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	P093501_1 Spectral Count	P093502_2 Spectral Count	P093503_3 Spectral Count	P093504_4 Spectral Count	P093505_5 Spectral Count	P093506_6 Spectral Count	P093507_7 Spectral Count	P093508_8 Spectral Count	P093509_9 Spectral Count	P093510_10 Spectral Count	P093511_11 Spectral Count	P093512_12 Spectral Count	P093513_13 Spectral Count	P093514_14 Spectral Count	P093515_15 Spectral Count	P093516_16 Spectral Count	P093501_1 Unique Spectral Count	P093502_2 Unique Spectral Count	P093503_3 Unique Spectral Count	P093504_4 Unique Spectral Count	P093505_5 Unique Spectral Count	P093506_6 Unique Spectral Count	P093507_7 Unique Spectral Count	P093508_8 Unique Spectral Count	P093509_9 Unique Spectral Count	P093510_10 Unique Spectral Count	P093511_11 Unique Spectral Count	P093512_12 Unique Spectral Count	P093513_13 Unique Spectral Count	P093514_14 Unique Spectral Count	P093515_15 Unique Spectral Count	P093516_16 Unique Spectral Count	P093501_1 Total Spectral Count	P093502_2 Total Spectral Count	P093503_3 Total Spectral Count	P093504_4 Total Spectral Count	P093505_5 Total Spectral Count	P093506_6 Total Spectral Count	P093507_7 Total Spectral Count	P093508_8 Total Spectral Count	P093509_9 Total Spectral Count	P093510_10 Total Spectral Count	P093511_11 Total Spectral Count	P093512_12 Total Spectral Count	P093513_13 Total Spectral Count	P093514_14 Total Spectral Count	P093515_15 Total Spectral Count	P093516_16 Total Spectral Count	P093501_1 Intensity	P093502_2 Intensity	P093503_3 Intensity	P093504_4 Intensity	P093505_5 Intensity	P093506_6 Intensity	P093507_7 Intensity	P093508_8 Intensity	P093509_9 Intensity	P093510_10 Intensity	P093511_11 Intensity	P093512_12 Intensity	P093513_13 Intensity	P093514_14 Intensity	P093515_15 Intensity	P093516_16 Intensity	P093501_1 MaxLFQ Intensity	P093502_2 MaxLFQ Intensity	P093503_3 MaxLFQ Intensity	P093504_4 MaxLFQ Intensity	P093505_5 MaxLFQ Intensity	P093506_6 MaxLFQ Intensity	P093507_7 MaxLFQ Intensity	P093508_8 MaxLFQ Intensity	P093509_9 MaxLFQ Intensity	P093510_10 MaxLFQ Intensity	P093511_11 MaxLFQ Intensity	P093512_12 MaxLFQ Intensity	P093513_13 MaxLFQ Intensity	P093514_14 MaxLFQ Intensity	P093515_15 MaxLFQ Intensity	P093516_16 MaxLFQ Intensity	Indistinguishable Proteins
NP_001392018.1	NP_001392018.1			232				1.0	0.999	13	393	0	393	10	18	34	32	23	25	31	12	26	13	13	39	40	43	21	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	18	34	32	23	25	31	12	26	13	13	39	40	43	21	13	2.7762554E8	4.1445974E8	1.3745772E9	6.4123635E8	6.664381E8	1.0275854E9	1.4255274E9	2.9940547E8	1.4285626E9	9.415885E8	1.2169772E9	1.1685124E9	1.8423016E9	2.3449024E9	8.0465574E8	6.973936E8	1.6306795E8	3.6394797E8	4.6518368E8	3.0958442E8	2.7148477E8	3.4634442E8	4.7090822E8	2.603047E8	4.0216275E8	3.5529616E8	3.732486E8	5.363747E8	5.2644986E8	4.0699066E8	4.0726256E8	3.6651994E8	XP_044370439.1
NP_001392020.1	NP_001392020.1			307				1.0	0.999	4	220	185	328	0	0	0	0	2	0	0	3	0	0	0	0	0	0	121	94	0	0	0	0	2	0	0	2	0	0	0	0	0	0	103	78	0	0	0	4	2	0	0	3	0	0	0	0	0	0	182	137	0.0	0.0	0.0	0.0	2979529.8	0.0	0.0	8.275101E7	0.0	0.0	0.0	0.0	0.0	0.0	6.3440175E10	1.0988078E11	0.0	0.0	0.0	0.0	2020848.0	0.0	0.0	5.5684796E7	0.0	0.0	0.0	0.0	0.0	0.0	3.3681158E10	5.8037744E10	
NP_001392022.1	NP_001392022.1			396				1.0	0.999	29	826	0	3677	18	18	55	80	39	58	46	51	66	48	59	84	82	59	32	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	108	291	465	419	249	252	227	251	216	201	269	233	202	105	89	1.2556755E8	1.0011876E8	1.927559E8	7.104821E8	3.2829178E8	3.243086E8	2.8893277E8	5.8711514E8	2.6132214E8	2.5889826E8	3.585758E8	4.3021005E8	3.443078E8	1.7483947E8	3.5657174E8	1.8359608E8	6.721159E7	5.252699E7	6.4548556E7	8.317087E7	5.619632E7	6.951307E7	7.0681736E7	7.569888E7	8.097352E7	7.196645E7	7.9060936E7	9.155293E7	1.0071473E8	6.736163E7	6.1395852E7	5.7659316E7	XP_044412219.1
NP_001392023.1	NP_001392023.1			487				1.0	0.999	9	2	2	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	5	3	2	3	8	4	6	4	6	7	7	31	28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7061876E7	2.900295E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5896955E7	2.900295E7	
NP_001392025.1	NP_001392025.1			580				1.0	0.999	44	64	64	2830	1	3	8	4	3	4	5	4	3	1	5	4	4	6	4	5	1	3	8	4	3	4	5	4	3	1	5	4	4	6	4	5	47	127	261	221	212	233	280	169	159	106	132	218	223	213	148	81	3004808.5	1.0598362E7	1.8794186E7	2.1242428E7	1.0762379E7	1.4986963E7	1.9257346E7	1.6134129E7	9291013.0	5231912.5	1.0623632E7	1.4936499E7	1.4378764E7	1.386042E7	1.4910907E7	1.1419248E7	3424133.8	5820991.0	8060156.0	7346936.5	4862074.0	6795772.5	8327164.5	7240841.5	5142905.0	5962033.0	4828845.0	6847887.5	6393196.0	5363467.0	6906051.5	5173552.5	
NP_001392233.1	NP_001392233.1			285				1.0	0.999	10	354	181	354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	203	151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	203	151	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.122194E9	4.718352E9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6030136E9	1.3371048E9	
NP_001392383.1	NP_001392383.1			168				1.0	0.999	15	183	0	1598	4	8	8	22	19	8	9	15	14	8	9	13	13	19	5	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	79	92	164	130	85	98	117	107	84	79	124	117	143	66	62	3.551202E7	4.5943584E7	2.2591356E7	5.539791E7	3.837142E7	2.2693942E7	2.7182926E7	5.523718E7	3.0467858E7	2.580998E7	2.6205708E7	3.3978224E7	4.367568E7	1.3643712E8	2.557843E7	2.3736996E7	1.0241228E7	2.3738126E7	1.1288831E7	3.6574988E7	2.8963818E7	1.4237035E7	1.495916E7	1.8378316E7	1.9797922E7	1.6057376E7	1.7344644E7	1.9642058E7	1.9291226E7	6.877448E7	1.5691628E7	9860896.0	XP_044369336.1
NP_001392385.1	NP_001392385.1			151				1.0	0.999	9	237	237	237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	106	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8084942.0	0.0	0.0	0.0	0.0	0.0	2.1411323E9	1.4831232E9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9816509.0	0.0	0.0	0.0	0.0	0.0	4.4256285E8	3.048085E8	
NP_001392429.1	NP_001392429.1			398				1.0	0.999	20	265	265	761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125	140	0	0	2	1	2	0	0	3	0	0	0	0	0	1	352	400	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.4641203E10	3.8161056E10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3349684E10	2.104654E10	
NP_001392430.1	NP_001392430.1			304				1.0	0.999	25	1816	956	1816	27	20	103	56	20	133	118	143	0	3	1	0	0	2	551	639	10	6	44	25	4	62	55	56	0	0	0	0	0	0	329	365	27	20	103	56	20	133	118	143	0	3	1	0	0	2	551	639	2.9231104E8	1.0031105E8	5.463354E8	2.3353128E8	5.053492E7	1.03366176E9	8.509765E8	1.6963291E9	0.0	1.1438456E7	8067860.5	0.0	0.0	1.379864E7	5.680792E10	9.108471E10	6.736683E7	5.1820708E7	1.589661E8	7.263258E7	3.549512E7	3.1613597E8	2.1601472E8	3.144204E8	0.0	2.3008118E7	1.6228264E7	0.0	0.0	1.8098462E7	9.26189E9	1.5283374E10	
NP_001392433.1	NP_001392433.1			362				1.0	0.999	16	10	0	56	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	4	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.9368477E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NP_001392434.1
NP_001392435.1	NP_001392435.1			661				1.0	0.999	20	415	0	548	7	8	33	44	37	23	28	15	31	16	24	27	43	37	23	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	10	47	59	47	37	44	21	40	21	30	38	54	46	24	21	7.3238856E7	8.831668E7	7.4985466E8	1.2784179E9	4.10082E8	4.4903037E8	6.61275E8	1.4711272E8	3.024305E8	2.2066074E8	4.2793706E8	9.589104E8	1.0729807E9	1.4344335E9	2.9368374E8	1.7787598E8	6.4803104E7	8.361966E7	1.9870571E8	2.3061856E8	1.6314358E8	1.4773662E8	1.8584328E8	1.0597595E8	1.762625E8	1.2215599E8	1.6833419E8	2.3540434E8	2.229802E8	1.8536947E8	8.691391E7	1.2071641E8	XP_044443484.1, XP_044443485.1
NP_001392436.1	NP_001392436.1			742				0.9998	0.999	16	37	0	249	2	1	4	4	4	4	5	4	1	1	1	1	2	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	13	28	34	21	30	33	24	7	5	8	7	6	8	7	4	5.231056E7	3714354.0	1.0512471E8	9.500252E7	2.4923604E7	2.4004886E8	1.7878062E8	1.3447142E8	1.9342934E7	2.9331808E7	3.1179986E7	9323988.0	9317431.0	0.0	0.0	0.0	4.752734E7	7.523361E7	8.518364E7	8.195931E7	2.2305738E7	1.7418931E8	1.2938858E8	1.1538384E8	1.6623872E7	2.5208598E7	2.6796974E7	8013303.0	8007667.5	0.0	0.0	0.0	XP_044349780.1
NP_001392437.1	NP_001392437.1			222				1.0	0.999	10	551	0	551	77	144	1	50	67	0	0	0	49	51	50	14	21	22	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	144	1	50	67	0	0	0	49	51	50	14	21	22	2	3	1.2487899E10	3.3722145E10	2.4689133E8	7.154184E8	2.2659597E9	0.0	0.0	2979198.2	1.28938E9	1.3248452E9	1.932964E9	4.986751E8	2.0879034E8	1.40263E8	7334606.0	4.4805395E8	4.2898035E9	1.0073164E10	1.4522674E8	4.212604E8	9.801286E8	0.0	0.0	2.9599872E8	5.3250083E8	5.4509446E8	8.274843E8	1.5085046E8	1.5194758E8	2.2303154E8	1.130182E8	2.3214806E8	XP_044323274.1, XP_044456272.1
NP_001392439.1	NP_001392439.1			218				1.0	0.999	18	93	93	474	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	282	192	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.046938E9	6.3730903E9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.453521E9	4.454777E9	
NP_001392441.1	NP_001392441.1			951				1.0	0.999	65	5629	0	5707	275	263	522	551	429	526	634	492	208	212	304	291	328	367	121	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	276	265	524	561	440	533	643	495	210	218	313	295	329	376	123	106	5.014644E9	5.9630986E9	2.021096E10	2.5755843E10	1.8875242E10	1.72438E10	3.3304576E10	3.3159133E10	3.0624404E9	2.9922941E9	6.25336E9	6.869916E9	1.3227975E10	1.2859354E10	1.933559E9	1.9066609E9	3.5775816E9	2.4619318E9	4.3198484E9	4.693487E9	3.3619638E9	4.6069463E9	6.416446E9	6.8045573E9	1.1702214E9	1.455603E9	2.1647877E9	1.8322675E9	2.342255E9	2.0702925E9	8.7199475E8	9.018733E8	NP_001392442.1
NP_001392631.1	NP_001392631.1			75				0.9424	0.999	1	3	0	3	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0.0	0.0	2808241.2	0.0	0.0	7049519.5	0.0	6682341.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2808241.2	0.0	0.0	7049519.5	0.0	6682341.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	NP_001414877.1, XP_044363914.1, XP_044369318.1, XP_044391997.1
NP_001392632.1	NP_001392632.1			218				1.0	0.999	18	2235	325	2542	99	125	138	174	146	132	161	127	129	110	97	176	200	203	114	104	15	16	24	22	20	21	23	19	24	18	15	28	28	25	14	13	119	141	155	196	169	147	185	147	154	130	116	195	217	232	125	114	3.77946E9	6.0046234E9	4.523145E9	6.575048E9	4.1001047E9	4.7899146E9	5.945518E9	4.680577E9	5.303003E9	3.735358E9	3.5756936E9	8.32835E9	1.3682611E10	1.0188091E10	3.4450081E9	2.8844037E9	2.0405669E9	2.1689352E9	1.5576716E9	2.2841172E9	1.6767156E9	1.5249526E9	1.9895023E9	1.7391857E9	1.6658702E9	1.5459738E9	1.3173793E9	2.366778E9	3.0462994E9	3.0730532E9	1.5435581E9	1.4426875E9	
NP_001392636.1	NP_001392636.1			303				1.0	0.999	2	21	21	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	12	0	0	0	0	0	0	0	1	0	0	0	0	0	0	27	28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.929629E8	3.853715E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2294112E8	1.925829E8	
NP_001392666.1	NP_001392666.1			295				0.9821	0.999	2	1	1	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6578592.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NP_001392667.1	NP_001392667.1			342				1.0	0.999	10	43	0	322	0	0	2	3	8	8	2	5	0	0	0	0	1	1	7	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	9	18	25	29	29	22	31	18	11	11	23	19	22	29	17	0.0	0.0	1.4758443E7	2.9192728E7	1.8563332E7	1.713198E7	1.4405704E7	1.1365463E7	0.0	0.0	0.0	0.0	0.0	6583255.5	3.2319192E7	1.1758399E7	0.0	0.0	1.3557196E7	2.6816618E7	1.705239E7	1.5737541E7	1.3233167E7	8633522.0	0.0	0.0	0.0	0.0	0.0	0.0	2.3189138E7	3.404451E7	XP_044334584.1
NP_001392668.1	NP_001392668.1			487				1.0	0.999	23	1235	176	1235	38	50	102	95	56	95	89	68	68	51	56	115	131	113	65	43	4	5	18	12	9	17	12	9	11	6	7	20	19	15	6	6	38	50	102	95	56	95	89	68	68	51	56	115	131	113	65	43	3.688337E8	4.6518688E8	6.633879E8	5.171511E8	2.669112E8	5.597621E8	6.3806464E8	4.3590736E8	3.6355117E8	3.3034422E8	3.5844112E8	8.2429786E8	7.3607405E8	5.5134637E8	3.371745E8	2.771934E8	9.605693E7	9.40851E7	1.0371788E8	8.204129E7	6.5952268E7	9.211282E7	9.756199E7	8.305279E7	7.429388E7	7.121147E7	7.307572E7	1.2611061E8	1.13450184E8	9.88809E7	7.658693E7	6.72274E7	
NP_001392669.1	NP_001392669.1			445				1.0	0.999	31	2122	0	6665	21	24	196	255	238	163	142	70	124	57	114	214	183	200	75	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	138	558	873	743	507	445	238	369	267	353	600	524	529	251	183	3.0194803E8	7.583559E8	1.1300322E10	5.4098985E10	5.85238E10	9.123956E9	4.755071E9	1.0249849E9	7.546559E9	1.9857098E9	4.6717435E9	5.0247692E10	2.9927041E10	4.898921E10	4.5024625E9	2.3018204E9	4.97171E8	6.85233E8	5.655247E9	1.8730377E10	1.306918E10	4.4586465E9	3.442509E9	1.2861276E9	3.1506166E9	1.05971776E9	2.9538683E9	1.1279295E10	9.441677E9	7.2268186E9	2.7121E9	1.05955366E9	XP_044335519.1, XP_044408474.1, XP_044408475.1
